Dimension-1 Parameter,Dimension-1 Value,Dimension-2 Parameter,Dimension-2 Value,Coherence_NG3_L4_SS_L4_Sum_accuracy,GrCaus_NG3_L4_SS_L4_Information_accuracy,NormError_SimErr_accuracy,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_accuracy,Coherence_NG3_L4_SS_L4_Sum_p,GrCaus_NG3_L4_SS_L4_Information_p,NormError_SimErr_p,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_p,Coherence_NG3_L4_SS_L4_Sum_conf_min,GrCaus_NG3_L4_SS_L4_Information_conf_min,NormError_SimErr_conf_min,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_conf_min,Coherence_NG3_L4_SS_L4_Sum_conf_max,GrCaus_NG3_L4_SS_L4_Information_conf_max,NormError_SimErr_conf_max,TransferEntropy_NG3_L4_SS_L4_TransfEntropy_conf_max
VT,-26.0,VT_1,-58.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-26.0,VT_1,-55.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-26.0,VT_1,-52.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-26.0,VT_1,-49.0,1.0,1.0,1.0,0.966666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.828,1.0,1.0,1.0,0.999
VT,-26.0,VT_1,-46.0,1.0,1.0,0.933333333333,0.866666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.779,0.693,1.0,1.0,0.992,0.962
VT,-26.0,VT_1,-43.0,0.933333333333,0.933333333333,0.866666666667,0.766666666667,0.0,0.0,0.0,0.0,0.779,0.779,0.693,0.577,0.992,0.992,0.962,0.901
VT,-26.0,VT_1,-40.0,0.833333333333,0.8,0.733333333333,0.766666666667,0.0,0.0,0.0,0.0,0.653,0.614,0.541,0.577,0.944,0.923,0.877,0.901
VT,-26.0,VT_1,-37.0,0.4,0.466666666667,0.533333333333,0.633333333333,0.166,0.043,0.007,0.0,0.227,0.283,0.343,0.439,0.594,0.657,0.717,0.801
VT,-23.0,VT_1,-67.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-23.0,VT_1,-64.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-23.0,VT_1,-61.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-23.0,VT_1,-58.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-23.0,VT_1,-55.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-23.0,VT_1,-52.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-23.0,VT_1,-49.0,1.0,1.0,1.0,0.966666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.828,1.0,1.0,1.0,0.999
VT,-23.0,VT_1,-46.0,1.0,1.0,0.933333333333,0.866666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.779,0.693,1.0,1.0,0.992,0.962
VT,-23.0,VT_1,-43.0,0.933333333333,0.933333333333,0.866666666667,0.766666666667,0.0,0.0,0.0,0.0,0.779,0.779,0.693,0.577,0.992,0.992,0.962,0.901
VT,-23.0,VT_1,-40.0,0.833333333333,0.8,0.733333333333,0.766666666667,0.0,0.0,0.0,0.0,0.653,0.614,0.541,0.577,0.944,0.923,0.877,0.901
VT,-23.0,VT_1,-37.0,0.4,0.466666666667,0.533333333333,0.633333333333,0.166,0.043,0.007,0.0,0.227,0.283,0.343,0.439,0.594,0.657,0.717,0.801
VT,-20.0,VT_1,-67.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-20.0,VT_1,-64.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-20.0,VT_1,-61.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-20.0,VT_1,-58.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-20.0,VT_1,-55.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-20.0,VT_1,-52.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-20.0,VT_1,-49.0,1.0,1.0,1.0,0.966666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.828,1.0,1.0,1.0,0.999
VT,-20.0,VT_1,-46.0,1.0,1.0,0.933333333333,0.866666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.779,0.693,1.0,1.0,0.992,0.962
VT,-20.0,VT_1,-43.0,0.933333333333,0.933333333333,0.866666666667,0.766666666667,0.0,0.0,0.0,0.0,0.779,0.779,0.693,0.577,0.992,0.992,0.962,0.901
VT,-20.0,VT_1,-40.0,0.833333333333,0.8,0.733333333333,0.766666666667,0.0,0.0,0.0,0.0,0.653,0.614,0.541,0.577,0.944,0.923,0.877,0.901
VT,-20.0,VT_1,-37.0,0.4,0.466666666667,0.533333333333,0.633333333333,0.166,0.043,0.007,0.0,0.227,0.283,0.343,0.439,0.594,0.657,0.717,0.801
VT,-17.0,VT_1,-67.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-17.0,VT_1,-64.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-17.0,VT_1,-61.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-17.0,VT_1,-58.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-17.0,VT_1,-55.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-17.0,VT_1,-52.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.884,1.0,1.0,1.0,1.0
VT,-17.0,VT_1,-49.0,1.0,1.0,1.0,0.933333333333,0.0,0.0,0.0,0.0,0.884,0.884,0.884,0.779,1.0,1.0,1.0,0.992
VT,-17.0,VT_1,-46.0,1.0,1.0,0.933333333333,0.866666666667,0.0,0.0,0.0,0.0,0.884,0.884,0.779,0.693,1.0,1.0,0.992,0.962
VT,-17.0,VT_1,-43.0,0.933333333333,0.933333333333,0.866666666667,0.766666666667,0.0,0.0,0.0,0.0,0.779,0.779,0.693,0.577,0.992,0.992,0.962,0.901
VT,-17.0,VT_1,-40.0,0.833333333333,0.8,0.733333333333,0.766666666667,0.0,0.0,0.0,0.0,0.653,0.614,0.541,0.577,0.944,0.923,0.877,0.901
VT,-17.0,VT_1,-37.0,0.4,0.466666666667,0.533333333333,0.633333333333,0.166,0.043,0.007,0.0,0.227,0.283,0.343,0.439,0.594,0.657,0.717,0.801
